
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
282, 0, 11118752, 1014472, 2240420
283, 0, 1078262, 1014697, 2240420
283, 1522553051, 359087409, 1014697, 2240420
284, 0, 1013977, 1014695, 2240420
285, 0, 740735, 1013734, 2240420
285, 0, 11126139, 1013734, 2240420
286, 0, 1086586, 1013988, 2240420
286, 1522553051, 399514620, 1013988, 2240420
287, 0, 1009748, 1013974, 2240420
288, 0, 742027, 1013030, 2240420
288, 0, 11120869, 1013030, 2240420
289, 0, 1080066, 1013261, 2240420
289, 1522553051, 439952091, 1013261, 2240420
290, 0, 1070102, 1013457, 2240420
291, 0, 764934, 1012603, 2240420
291, 0, 11115286, 1012603, 2240420
292, 0, 1076931, 1012823, 2240420
292, 1522553051, 480351490, 1012823, 2240420
293, 0, 1020146, 1012847, 2240420
294, 0, 738309, 1011914, 2240420
294, 0, 11241838, 1011914, 2240420
295, 0, 1181295, 1012488, 2240420
295, 1522553051, 521335779, 1012488, 2240420
296, 0, 1629870, 1014573, 2240420
297, 0, 1028871, 1014621, 2240420
297, 0, 11747866, 1014621, 2240420
298, 0, 1698156, 1016914, 2240420
298, 1522553051, 562056372, 1016914, 2240420
299, 0, 1726161, 1019286, 2240420
300, 0, 1051152, 1019392, 2240420
300, 0, 11743064, 1019392, 2240420
301, 0, 3065997, 1026191, 3065997
302, 0, 1622194, 1028164, 3065997
303, 0, 1133121, 1028510, 3065997
303, 0, 11859251, 1028510, 3065997
304, 0, 1795739, 1031033, 3065997
304, 1522553051, 643055636, 1031033, 3065997
305, 0, 1870307, 1033784, 3065997
306, 0, 1103059, 1034010, 3065997
306, 0, 11830387, 1034010, 3065997
307, 0, 1769168, 1036404, 3065997
307, 1522553051, 683483889, 1036404, 3065997
308, 0, 1186189, 1036890, 3065997
309, 0, 754564, 1035977, 3065997
309, 0, 11146791, 1035977, 3065997
310, 0, 1084269, 1036132, 3065997
310, 1522553051, 722968869, 1036132, 3065997
311, 0, 1048785, 1036172, 3065997
312, 0, 752835, 1035264, 3065997
312, 0, 11160218, 1035264, 3065997
313, 0, 1097488, 1035462, 3065997
313, 1522553051, 763378424, 1035462, 3065997
314, 0, 1032943, 1035454, 3065997
315, 0, 737305, 1034508, 3065997
