Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,509805,0,0,,,,
0,0,0,497273,0,0,,,,
0,0,0,480991,0,0,,,,
0,0,0,447730,0,0,,,,
0,0,0,444676,0,0,,,,
0,0,0,440790,0,0,,,,
0,0,0,457997,0,0,,,,
0,0,0,446661,0,0,,,,
0,0,0,436681,0,0,,,,
0,0,0,439409,0,0,,,,
0,0,0,438908,0,0,,,,
0,0,0,450959,0,0,,,,
0,0,0,453895,0,0,,,,
0,0,0,436311,0,0,,,,
0,0,0,439820,0,0,,,,
0,0,0,440724,0,0,,,,
0,0,0,438296,0,0,,,,
0,0,0,440608,0,0,,,,
0,0,0,473023,0,0,,,,
0,0,0,416324,0,0,,,,
0,0,0,419521,0,0,,,,
0,0,0,426103,0,0,,,,
0,0,0,409768,0,0,,,,
0,0,0,406298,0,0,,,,
0,0,0,411213,0,0,,,,
0,0,0,414150,0,0,,,,
0,0,0,417139,0,0,,,,
0,0,0,415960,0,0,,,,
0,0,0,403010,0,0,,,,
0,0,0,409332,0,0,,,,
0,0,0,402164,0,0,,,,
0,0,0,411923,0,0,,,,
0,0,0,419808,0,0,,,,
0,0,0,423993,0,0,,,,
0,0,0,412294,0,0,,,,
0,0,0,410752,0,0,,,,
0,0,0,408531,0,0,,,,
0,0,0,422301,0,0,,,,
0,0,0,427372,0,0,,,,
0,0,0,410778,0,0,,,,
0,0,0,411786,0,0,,,,
0,0,0,418941,0,0,,,,
0,0,0,410367,0,0,,,,
0,0,0,422887,0,0,,,,
0,0,0,420302,0,0,,,,
0,0,0,411988,0,0,,,,
0,0,0,404664,0,0,,,,
0,0,0,401819,0,0,,,,
0,0,0,405120,0,0,,,,
0,0,0,421233,0,0,,,,
0,0,0,453492,0,0,,,,
0,0,0,430283,0,0,,,,
0,0,0,417386,0,0,,,,
0,0,0,487092,0,0,,,,
0,0,0,480602,0,0,,,,
0,0,0,496766,0,0,,,,
0,0,0,444234,0,0,,,,
0,0,0,435401,0,0,,,,
0,0,0,447607,0,0,,,,
0,0,0,455231,0,0,,,,
0,0,0,443688,0,0,,,,
0,0,0,438656,0,0,,,,
0,0,0,437686,0,0,,,,
0,0,0,439893,0,0,,,,
0,0,0,449809,0,0,,,,
0,0,0,439411,0,0,,,,
0,0,0,433754,0,0,,,,
0,0,0,434607,0,0,,,,
0,0,0,450251,0,0,,,,
0,0,0,450740,0,0,,,,
0,0,0,459614,0,0,,,,
0,0,0,418488,0,0,,,,
0,0,0,409966,0,0,,,,
0,0,0,423266,0,0,,,,
0,0,0,426671,0,0,,,,
0,0,0,411066,0,0,,,,
0,0,0,477491,0,0,,,,
0,0,0,431990,0,0,,,,
0,0,0,416958,0,0,,,,
0,0,0,412394,0,0,,,,
0,0,0,420174,0,0,,,,
0,0,0,439568,0,0,,,,
0,0,0,412297,0,0,,,,
0,0,0,423670,0,0,,,,
0,0,0,431033,0,0,,,,
0,0,0,410011,0,0,,,,
0,0,0,405552,0,0,,,,
0,0,0,413748,0,0,,,,
0,0,0,459989,0,0,,,,
0,0,0,457781,0,0,,,,
0,0,0,434850,0,0,,,,
0,0,0,499834,0,0,,,,
0,0,0,493360,0,0,,,,
0,0,0,464282,0,0,,,,
0,0,0,441090,0,0,,,,
0,0,0,455033,0,0,,,,
0,0,0,443559,0,0,,,,
0,0,0,464012,0,0,,,,
0,0,0,447903,0,0,,,,
0,0,0,432887,0,0,,,,
0,0,0,443340,0,0,,,,
0,0,0,451710,0,0,,,,
0,0,0,454506,0,0,,,,
0,0,0,451367,0,0,,,,
0,0,0,449267,0,0,,,,
0,0,0,432846,0,0,,,,
0,0,0,437153,0,0,,,,
0,0,0,435159,0,0,,,,
0,0,0,461132,0,0,,,,
0,0,0,422054,0,0,,,,
0,0,0,420632,0,0,,,,
0,0,0,405408,0,0,,,,
0,0,0,409975,0,0,,,,
0,0,0,413398,0,0,,,,
0,0,0,409788,0,0,,,,
0,0,0,423470,0,0,,,,
0,0,0,422829,0,0,,,,
0,0,0,407814,0,0,,,,
0,0,0,413787,0,0,,,,
0,0,0,415803,0,0,,,,
0,0,0,490375,0,0,,,,
0,0,0,468276,0,0,,,,
0,0,0,415344,0,0,,,,
0,0,0,417359,0,0,,,,
0,0,0,428125,0,0,,,,
0,0,0,406547,0,0,,,,
